NumberofOfficers,GrossLoanPortfolio,NumberofActiveBorrowers,NumberofLoansOutstanding,ShortTermDelinquency,LongTermDelinquency,AvgLoanPerBorrower,CostperBorrower,BorrowersPerLoanOfficer,Profit
387,606686434,382027,476869,13741349,1779424,1588,215,987,7853000
418,590391952,387973,469777,14423541,1580448,1522,373,928,3841175
412,588065146,390996,466862,13530101,1877923,1504,203,949,2839487
391,626217092,384990,479528,11510893,2290768,1627,213,985,2838871
391,626217092,395047,468503,11510893,2290768,1585,206,1010,9520000
389,612680878,381652,451136,13871205,2684981,1605,213,981,1572491
398,614618195,368407,433572,13753307,2967144,1668,188,926,2375371
402,585747090,354460,415290,14944395,2936287,1653,177,882,2562618
388,554823978,334135,388117,14680576,1667578,1660,198,861,974186
388,554823978,334135,388117,14680576,1667578,1660,199,861,7484665
385,525102136,314368,362358,16555698,1666694,1670,168,817,1090705
387,514192589,295845,340296,11776545,1439548,1738,193,764,894600
345,519086007,283562,326462,10308879,1376903,1831,197,822,759559
354,537300247,275090,317878,7978323,1272870,1953,227,777,647226
354,537300247,275090,317878,7978323,1272870,1953,193,777,3392090
350,530742084,269062,312214,10784780,1270737,1973,206,769,1448286
355,554807882,270124,314212,8153112,1262329,2054,214,761,2419772
360,568813846,274228,320340,8282783,1195287,2074,235,762,2892094
360,584054713,277051,323013,7060568,1301685,2108,249,770,2849708
360,584054712,277051,323013,7060567,1301685,2108,233,770,9609859
361,583069941,276644,323019,7887731,1698612,2108,233,766,2904619
372,605715139,277066,324049,7500149,1203507,2186,235,745,3884727
396,624488747,282215,330807,8924301,940736,2213,232,713,5084443
395,643832001,286412,335740,7367330,1133723,2248,487,725,6049787
395,643832001,286412,335740,7367330,1133723,2248,239,725,15018957
402,637128432,285378,334546,9264411,1070593,2233,237,710,3438153
400,646331184,286958,335870,8645439,1029035,2252,239,717,4687160
424,1840425269,176676,353648,77252633,25303162,10417,758,417,14328358
426,1839710567,185708,380322,84534008,24340248,9906,719,436,10010159
456,1735874939,197299,412360,56867867,14199787,8798,673,433,6863735
464,2036362063,209980,371621,59861223,19224070,9698,681,453,17506227
491,2443137053,222861,413328,105111398,20326956,10963,710,454,13237654
1156,927483841,232766,261525,382457,4434997,3985,418,201,24326655
1072,975364148,244529,273545,1305541,4755985,3989,416,228,6694580
1116,1015428513,248960,277484,926645,5943808,4079,381,223,7271779
1141,1052367409,251162,279026,593839,7182287,4190,291,220,5400364
1141,1052367409,251162,279026,593839,7182287,4190,376,220,26354828
1102,1086709165,252436,279709,1213637,7768277,4305,467,229,5069291
1159,1109031271,252442,278929,1024894,8094914,4393,407,218,8586563
1170,1131652132,252185,277786,1012910,8721056,4487,389,216,10549244
1180,1174208251,251512,276250,449208,8959066,4669,318,213,8353254
1180,1174208251,251512,276250,449208,8959066,4669,395,213,32538274
1171,1203104229,251082,274928,1161480,9101158,4792,446,214,5461027
1173,1269234011,251635,274266,1124325,8747656,5044,435,215,6902388
1197,1304780971,251952,274329,472770,8415327,5179,279,210,12770892
1197,1304780971,251952,274329,472770,8574889,5179,396,210,32678866
1189,1324161877,252945,274853,978976,8175654,5235,447,213,7574051
1231,1362124353,254895,276366,749267,7896348,5344,435,207,8226404
1242,1413164771,258623,279749,637047,10305997,5464,442,208,8258391
1288,1450090976,260479,281526,455580,8460663,5567,290,202,15265028
1288,1450090976,260479,281526,455580,8460663,5567,401,202,39325298
1286,1474557894,262660,283647,1033460,8381905,5614,466,204,8136079
1349,1506097601,265815,286890,739596,7551465,5666,462,197,8918232
1361,1568965810,270613,292081,743661,7848433,5798,456,199,9022594
1376,1610219076,275758,297974,341288,7645173,5839,318,200,12800239
1376,1610219076,275758,297974,341288,7645173,5839,424,200,38901825
1326,1623854386,279607,302534,741866,7851824,5808,458,211,8668028
20,1063211,9014,9014,0,0,118,14,451,22801
31,1683794,14380,14380,769,422,117,16,464,62145
47,3055291,20990,20990,1045,960,146,12,447,51640
51,3400314,21952,21952,0,682,155,16,430,-7714
54,3400314,21952,21952,0,682,155,14,407,83455
61,3843558,23766,23766,802,913,162,13,390,137859
81,4846160,26652,26652,0,737,182,20,329,53545
87,4741275,27962,27962,68054,691,170,16,321,119550
91,4840435,27835,27835,15319,0,174,28,306,3689
91,4840432,27837,27837,14878,0,174,17,306,210618
99,4970595,27163,27163,28032,6204,183,17,274,85160
84,5255734,26530,26530,25811,11378,198,20,316,20656
88,6204431,28195,28195,13408,25604,220,19,320,80837
93,6487718,29825,29825,303,31973,218,33,321,15687
93,6487718,29825,29825,856,31973,218,22,321,187528
95,5762511,29459,29459,4567,27297,196,21,310,77847
93,5302398,27298,27298,4236,25654,194,20,294,49346
96,5893223,25385,25385,3340,23665,232,27,264,10526
93,6248608,24736,24736,2995,15173,253,25,266,29028
84,6248613,24736,24736,2995,15173,253,24,294,151637
87,5628998,24190,24190,4240,16551,233,23,278,83350
6,452733,188,188,894,0,2408,339,31,46728
983,301845875,198362,253313,11149850,7556074,1522,236,202,7105996
1122,313128816,212162,269653,12625182,8454311,1476,239,189,1828088
1186,318671440,219504,275373,15189327,8079441,1452,222,185,1730352
1155,313657004,231127,284654,13481456,9431482,1357,217,200,2608643
1125,315753432,238361,340186,11508406,10403897,1325,203,212,2069149
1125,315690635,238361,290498,10935347,10403897,1324,218,212,8136620
1188,303579370,241254,290978,10476085,10330733,1258,224,203,1897197
1102,296287603,247402,290484,10962762,8423162,1198,221,225,935423
1191,302002735,260812,300734,9094644,10041777,1158,205,219,1813675
1185,297453457,270644,311140,8561022,7299927,1099,212,228,2211327
1185,297453457,270644,311140,8561022,7299927,1099,212,228,6873078
1394,315216640,288766,329074,9636141,6820314,1092,227,207,1956271
1490,334665224,322299,359656,10150875,7163271,1038,223,216,1125145
1576,343828972,351373,385768,10099049,7012936,979,205,223,2505042
1573,375211167,384883,419353,10423367,7304660,975,212,245,2017228
1573,375211167,384883,419353,10423367,7304660,975,213,245,7615671
1619,398234306,402529,435180,13938814,7288501,989,211,249,3068664
29,2829382,6945,8152,32933,40949,407,118,239,45178
25,2738664,7114,8280,43459,72068,385,110,285,33299
14,41917073,5358,5384,11792190,391,7823,1343,383,2226592
139,28147362,31262,31262,1334352,889499,900,222,225,63502
163,32853390,36497,38353,1851751,627006,900,216,224,38743
163,32853390,36487,38353,1851751,627006,900,211,224,197347
198,38831032,41331,43555,2137967,701639,940,225,209,115764
203,41639444,44124,46513,2665676,0,944,229,217,130862
72,14865369,15324,15786,1072858,2864,970,386,213,108341
58,13414982,13707,14756,1112087,5684,979,351,236,-694363
63,11145321,11357,11357,706267,96292,981,319,180,-857830
70,15045339,11136,11818,1050084,202403,1351,361,159,-668720
58,16848439,9778,10332,1405057,358042,1723,225,169,-691422
176,34087544,28928,30394,1351596,32317,1178,254,164,588015
176,34087544,28928,30394,1351596,32317,1178,315,164,1584571
180,36521070,29389,30872,1603565,28987,1243,288,163,548839
195,35974389,30203,31654,1719261,33834,1191,290,155,382914
34,7352907,10420,10420,477187,0,706,162,306,78145
1308,454436921,209918,232091,10829947,1708611,2165,352,160,1349224
1218,446681654,213152,236652,9837450,1311976,2096,349,175,485907
1203,458048379,212134,238293,9093363,1850060,2159,323,176,4743787
1218,463739898,212940,239240,7956209,3255146,2178,315,175,1336801
1225,465182658,211786,237305,8724215,3588115,2196,321,173,800780
1231,464647047,211063,236232,9339546,3022584,2201,310,171,1495937
1231,480656820,211635,238338,9223726,2534216,2271,318,172,3777407
1231,480656820,211635,238338,9223726,2534216,2271,323,172,7265644
1273,481680671,211145,238222,10182123,4019751,2281,333,166,2081637
1332,482399494,213313,240383,10271231,3602999,2261,344,160,1794703
1286,483988071,215276,242855,9588682,3429907,2248,327,167,2616839
1253,493422752,217669,247332,9564082,3486662,2267,308,174,3624246
1253,493422752,217669,247332,9564082,3486662,2267,316,174,10146505
1395,509704512,222371,252517,10473752,3771555,2292,329,159,3072620
1403,525807325,230345,260844,13078371,3183112,2283,332,164,3244256
347,134734640,101249,116021,11403339,3214091,1331,295,292,3453653
422,151246481,102710,122533,12131147,3637196,1473,583,243,1880175
433,164575202,109716,122533,11975728,3925857,1500,301,253,3110697
433,173796049,114941,135161,13244842,4559743,1512,272,265,1175325
433,173774718,114941,135161,13223511,4559743,1512,308,265,6074608
467,180413395,116498,139128,14507065,5262498,1549,266,249,1184528
485,172464036,115786,139799,15348334,5582859,1490,250,239,-346561
482,164841321,116333,141145,15230448,5415143,1417,232,241,1593993
463,165227661,116019,139328,14684076,6159502,1424,225,251,2856222
458,165227661,116357,139328,14684076,6159502,1420,239,254,5476288
361,151452757,103877,122378,20339870,1584741,1458,232,288,-730021
670,28540714,118796,118796,2072215,30112,240,378,177,-10741841
876,18350701,95515,95515,652497,767546,192,444,109,11179107
273,41153359,80275,80674,1296182,0,513,167,294,793993
304,43673299,92605,92997,1261089,0,472,147,305,318025
325,64479108,110817,110817,1347608,0,582,133,341,1390952
354,80031540,117331,117331,1386443,0,682,0,331,2047
42,3427788,15730,15749,15287,0,218,150,375,-11703
44,4877981,19969,20154,10288,487,244,142,454,10467
51,6434550,21656,22326,24821,205,297,139,425,547197
167,184690554,1945,2202,4397394,2117264,94957,7780,12,1944895
171,196451613,2178,2459,6612903,2903226,90198,5995,13,3089431
171,196451613,2178,2459,6451613,2903226,90198,7070,13,7954545
169,193064516,2174,2451,5967742,2741935,88806,6039,13,320513
143,180806452,2063,2346,11612903,4516129,87642,5873,14,-1767742
132,157861635,1982,2260,5974843,3459120,79648,5035,15,-2707937
121,139753467,2244,2244,3543914,3235747,62279,5049,19,-4068858
121,139753467,2003,2243,3543914,3081664,69772,5516,17,-8426073
110,114285714,1927,2105,86801242,1863354,59308,3985,18,-6727829
64,92631579,1834,1954,6917293,4060150,50508,2976,29,-306279
66,76461769,1812,1906,5997002,6596702,42197,2968,27,-1049475
67,61959654,1838,1910,2593660,8645533,33710,3212,27,-1461988
77,62066289,1837,1909,2737752,8645533,33787,3386,24,-10234068
57,51959361,1781,1842,1596517,10595065,29174,3937,31,-870827
71,44985251,1791,1835,2507375,9144543,25117,2308,25,-1311953
69,42451193,1800,1834,870843,7121478,23584,2295,26,-1397226
70,38389230,1983,2008,395017,4879855,19359,3028,28,-1857551
68,37189513,2161,2188,392080,3308187,17209,2787,32,943960
64,40942683,3121,3147,453364,2688466,13118,2154,49,941001
183,45553808,3920,3942,628223,1966047,11621,1532,21,671233
73,48725747,3956,4007,420248,1267899,12317,1383,54,-646350
73,48725747,3956,4007,420248,1267899,12317,1796,54,216926
66,47928408,3874,3951,364377,228117,12372,1394,59,116529
153,124354839,1594,1722,3064516,1290323,78014,7939,10,325203
153,124354839,1594,1722,3064516,1290323,78014,6884,10,2922078
143,130000000,1573,1712,4193548,2419355,82645,7469,11,641026
134,140000000,1730,1886,5483871,2096774,80925,7137,13,-967742
126,148270440,1851,2058,4245283,2672956,80103,6399,15,793651
124,145916795,2148,2148,2311248,3389831,67931,5963,17,625978
124,145916795,1944,2149,2311248,3389831,75060,6508,16,1112878
113,133229814,1920,2114,114130435,2329193,69391,4696,17,-1070336
75,111578947,1821,2007,4962406,4210526,61273,3989,24,306279
70,99700150,1759,1927,2698651,5247376,56680,3695,25,599700
82,85734870,1741,1891,2449568,4610951,49245,3685,21,730994
85,85816470,1740,1890,2449568,4610951,49320,4169,20,504060
67,73156342,1641,1761,2212389,2949853,44580,3572,24,874636
66,76090229,1714,1827,777977,1717436,44393,3550,26,955953
72,80117687,1833,1941,1081782,1399611,43709,3177,25,1202173
70,80117687,1833,1941,1081782,1399611,43709,4232,26,316068
81,82446690,1968,2066,388076,1205592,41894,4500,24,467983
78,82375125,2153,2253,649236,991231,38261,1362,28,2317927
76,88492133,2465,2553,913914,676644,35899,3863,32,511190
80,88363510,2662,2738,510439,619170,33194,3537,33,972764
80,93862031,2662,2738,510439,619169,35260,4027,33,2970399
79,91084489,2867,2936,813539,544586,31770,3079,36,705738
247,221774194,4149,4464,10806452,4516129,53452,6662,17,1495935
247,221774194,4149,4464,10806452,4677419,53452,5654,17,10064935
239,210967742,4184,4482,8709677,4032258,50423,5362,18,-801282
217,202258065,4310,4627,11129032,3709677,46928,5088,20,-2983871
221,197327044,4525,4856,11635220,4716981,43608,5043,20,-317460
198,185362096,5163,5163,9553159,6163328,35902,4664,26,312989
198,185362096,4853,5167,9553159,6163328,38195,5018,25,-3338633
182,165062112,4916,5183,138198758,7298137,33577,2627,27,305810
157,141804511,4910,5139,8120301,6315789,28881,2404,31,459418
155,123238381,4718,4925,4197901,4647676,26121,1624,30,899550
174,110951009,4491,4664,3314121,3746398,24705,2546,26,1315789
167,111023779,4492,4663,3346036,3749362,24716,3151,27,3160305
180,99557522,5407,5553,2654867,1917404,18413,3019,30,874636
180,116439353,12776,12965,2544796,2277389,9114,1626,71,939574
180,136700640,23360,23626,1405541,1188428,5852,1023,130,1372343
178,136700640,23333,23626,1405541,1188428,5859,1568,131,6109297
185,132236906,19461,19697,1168048,757490,6795,858,105,1548252
175,133104948,18057,18243,1005839,687656,7371,945978,103,8706159
76,146832466,19456,19545,1680267,407744,7547,939,256,2779820
183,170462197,22066,22156,1275715,363739,7725,1028,121,1436824
183,170463328,22065,22156,1275715,363739,7726,931,121,8917048
177,184650461,27392,27480,1773637,507357,6741,804,155,2410451
32,20807910,10117,10904,1759405,65954,2057,349,316,889968
44,21566227,11020,12258,2310675,124933,1957,300,250,2588027
44,20089021,12138,13095,2015424,190684,1655,405,276,3612728
53,16276438,14153,14940,1849332,253994,1150,282,267,1747575
50,17284935,15036,15649,2460561,462533,1150,187,301,1500456
53,15714700,14013,14459,1895524,1204767,1121,195,264,786517
62,14043397,13468,13886,1179505,811962,1043,253,217,1795694
203,11701480,46839,46839,6885,202695,250,59,231,141571
176,8115417,43184,43184,89419,210461,188,29,245,206949
195,9768122,46104,46104,47987,129488,212,29,236,155536
203,9925576,46839,46839,5840,139934,212,32,231,119593
201,10536370,47969,47969,4914,172337,220,31,239,106135
199,10765360,48563,48563,4702,180680,222,42,244,-17021
199,10788217,48563,48563,4702,180680,222,51,244,135042
198,10361054,47180,47180,7910,182577,220,36,238,-29084
207,10431642,47352,47352,5887,195847,220,36,229,60936
212,11049043,49684,49684,60902,210051,222,37,234,24838
215,11359507,50284,50284,72873,216999,226,38,234,17776
244,11939403,53343,53343,33165,257851,224,38,219,162572
249,13580458,56618,56618,56424,279749,240,6,227,1073387
254,14329782,59060,59060,33226,270285,243,43,233,53913
254,14329782,59060,59060,33226,270285,243,15,233,113768
57,55744911,32287,32287,8785514,0,1727,210,566,3579462
59,54049893,31861,33318,7695344,230757,1696,376,540,3758444
65,54002391,31820,33250,7562544,148722,1697,346,490,886564
66,58636939,32247,33755,8968173,61631,1818,428,489,1058697
64,49865938,34054,35634,8266219,21927,1464,439,532,1064529
64,49865938,34054,35634,8266219,21927,1464,397,532,4274929
67,46976203,34799,36413,7676660,181671,1350,283,519,931160
71,48359074,35337,37049,7624890,79400,1369,320,498,538393
72,43248975,37123,39023,6700586,72756,1165,311,516,595424
79,43475141,37784,39760,6732015,115072,1151,317,478,719324
79,43475141,37784,39760,6732015,115072,1151,298,478,2757675
85,47877272,38182,40151,7290766,41555,1254,220,449,679686
87,51896071,39232,41399,7010473,19460,1323,256,451,1018377
88,54957826,40211,42483,7917533,20223,1367,255,457,737215
90,54525126,40265,42615,9159246,3345,1354,294,447,526891
90,54525126,40265,42615,9159246,3345,1354,255,447,2935944
107,58735934,40969,43368,9608490,7383,1434,276,383,1214980
106,56462689,41408,44117,8740181,36568,1364,298,391,107347
101,59564986,41620,44115,8247199,48169,1431,312,412,1243781
105,58790093,41223,41223,8339918,41624,1426,370,393,870863
105,58790093,41223,43687,8339918,41624,1426,311,393,3364157
107,62945817,40586,43019,8684005,104839,1551,322,379,812884
112,60957623,40616,40616,7635961,104556,1501,356,363,976496
110,62198371,41064,41064,7838426,90430,1515,368,373,287265
114,57913929,41333,43920,6601530,131027,1401,390,363,450925
114,57913929,41333,43920,6601530,131027,1401,371,363,1865725
119,59108845,41470,41470,7077196,114965,1425,356,348,809479
134,60951054,42478,42478,7136945,147410,1435,363,317,387791
66,15467977,15624,15624,366916,223605,990,169,237,1725948
51,16491220,15544,15544,356545,433644,1061,141,305,1562672
55,15331823,11963,11963,277184,586133,1282,139,218,1371510
935,35627499,312182,312182,200529,6156142,114,20,334,1152287
1108,38025185,230810,230810,237506,159805,165,21,208,2898038
1056,46510337,246912,246912,428659,33663,188,33,234,3169410
1105,43569703,215293,215293,215362,73561,202,41,195,1157224
1105,43569942,214981,214981,215362,73561,203,35,195,7110999
1308,64076034,269555,269555,158527,138072,238,129,206,3836250
1199,68961705,299966,299966,484317,121756,230,45,250,5519108
1794,86356977,413932,419952,840111,108443,209,36,231,2347381
1794,86356978,413932,419956,828266,108879,209,44,231,7473553
1948,91491850,471001,477136,549856,170282,194,31,242,2663640
1945,98572254,492828,499351,407852,187523,200,30,253,2641509
1996,85082492,501027,508533,656769,164513,170,35,251,1609286
1996,85082492,501027,508533,656769,164513,170,10,251,2556283
705,59685160,365718,365718,0,88091,163,32,519,1791372
480,83853559,408986,522855,283535,88611,205,32,852,3571620
905,121628425,468638,468638,566687,151731,260,36,518,6965251
1221,166509850,520743,520743,1480500,254928,320,50,426,8015609
1396,223480165,557082,557082,1833506,814998,401,49,399,12154849
1779,296500800,671702,671702,2082899,517692,441,59,378,17086398
1911,317884233,747020,747951,3680796,451325,426,150,391,12323996
2078,315502118,784480,785534,3977612,901145,402,273,378,6111356
2078,310970485,785534,785534,3977612,901145,396,53,378,20205325
2328,298822954,817503,819298,13472027,937692,366,93,351,9080136
435,21659657,141299,141299,8192,1526754,153,39,325,2628414
358,25635073,142890,142890,3768,815242,179,43,399,4277793
350,29494126,151335,151335,2461,300082,195,40,432,4795588
385,21760128,191794,191794,1846,149768,113,21,498,4329477
440,26337606,199075,199075,192056,145700,132,24,452,5751550
12,861292,4833,4833,7134,137,178,39,403,74252
14,775360,4474,4474,6236,2355,173,37,320,53013
19,576695,4142,4142,3287,2264,139,28,218,1459
35,21325802,3087,3087,0,2610,6908,1322,88,286598
48,23136733,2805,2805,176536,0,8248,1263,58,742555
72,44090056,3891,3891,597586,0,11331,1198,54,-86039
72,44091025,3893,3893,597586,0,11326,1313,54,594950
72,39236741,4044,4044,751768,0,9702,1309,56,-944124
83,35394768,4118,4118,280612,0,8595,1231,50,-480658
102,33414828,4358,4358,238551,0,7667,1158,43,-187572
110,37311504,4989,4989,92765,0,7479,1430,45,-273750
110,37311504,4989,4989,86973,0,7479,1261,45,-1848373
114,36016707,5344,5344,14890,0,6740,1074,47,37154
116,37585477,5845,5845,130664,0,6430,935,50,199245
161,42338863,6517,6517,89475,0,6497,930,40,60696
125,47689097,7249,7249,74036,0,6579,877,58,184638
125,47689097,7249,7249,45286,0,6579,931,58,508570
127,45102770,7242,7242,29273,0,6228,906,57,204069
